,index,date,home_team,away_team,home_score,away_score,Season,result
793,44240,2021-09-02,Georgia,Kosovo,0.0,1.0,2020-2021,Kosovo
794,44241,2021-09-02,Sweden,Spain,2.0,1.0,2020-2021,Sweden
795,44242,2021-09-02,Italy,Bulgaria,1.0,1.0,2020-2021,Draw
796,44244,2021-09-02,Czechia,Belarus,1.0,0.0,2020-2021,Czechia
797,44245,2021-09-02,Estonia,Belgium,2.0,5.0,2020-2021,Belgium
798,44247,2021-09-02,Hungary,England,0.0,4.0,2020-2021,England
799,44248,2021-09-02,Poland,Albania,4.0,1.0,2020-2021,Poland
800,44249,2021-09-02,Iceland,Romania,0.0,2.0,2020-2021,Romania
801,44250,2021-09-02,Liechtenstein,Germany,0.0,2.0,2020-2021,Germany
802,44251,2021-09-02,North Macedonia,Armenia,0.0,0.0,2020-2021,Draw
803,44273,2021-09-04,Serbia,Luxembourg,4.0,1.0,2020-2021,Serbia
804,44275,2021-09-04,Ukraine,France,1.0,1.0,2020-2021,Draw
805,44277,2021-09-04,Scotland,Moldova,1.0,0.0,2020-2021,Scotland
806,44279,2021-09-04,Latvia,Norway,0.0,2.0,2020-2021,Norway
807,44283,2021-09-04,Cyprus,Russia,0.0,2.0,2020-2021,Russia
808,44284,2021-09-04,Slovakia,Croatia,0.0,1.0,2020-2021,Croatia
809,44286,2021-09-05,Estonia,Northern Ireland,0.0,1.0,2020-2021,Northern Ireland
810,44293,2021-09-05,Spain,Georgia,4.0,0.0,2020-2021,Spain
811,44295,2021-09-05,Switzerland,Italy,0.0,0.0,2020-2021,Draw
812,44296,2021-09-05,Belarus,Wales,2.0,3.0,2020-2021,Wales
813,44297,2021-09-05,Belgium,Czechia,3.0,0.0,2020-2021,Belgium
814,44298,2021-09-05,England,Andorra,4.0,0.0,2020-2021,England
815,44299,2021-09-05,Albania,Hungary,1.0,0.0,2020-2021,Albania
816,44301,2021-09-05,Iceland,North Macedonia,2.0,2.0,2020-2021,Draw
817,44302,2021-09-05,Germany,Armenia,6.0,0.0,2020-2021,Germany
818,44303,2021-09-05,Romania,Liechtenstein,2.0,0.0,2020-2021,Romania
819,44338,2021-09-07,Republic of Ireland,Serbia,1.0,1.0,2020-2021,Draw
820,44341,2021-09-07,France,Finland,2.0,0.0,2020-2021,France
821,44343,2021-09-07,Austria,Scotland,0.0,1.0,2020-2021,Scotland
822,44346,2021-09-07,Netherlands,Turkey,6.0,1.0,2020-2021,Netherlands
823,44348,2021-09-07,Croatia,Slovenia,3.0,0.0,2020-2021,Croatia
824,44349,2021-09-07,Slovakia,Cyprus,2.0,0.0,2020-2021,Slovakia
825,44351,2021-09-08,Bulgaria,Georgia,4.0,1.0,2020-2021,Bulgaria
826,44352,2021-09-08,Czechia,Ukraine,1.0,1.0,2020-2021,Draw
827,44354,2021-09-08,Kosovo,Spain,0.0,2.0,2020-2021,Spain
828,44356,2021-09-08,Northern Ireland,Switzerland,0.0,0.0,2020-2021,Draw
829,44358,2021-09-08,Wales,Estonia,0.0,0.0,2020-2021,Draw
830,44359,2021-09-08,Belarus,Belgium,0.0,1.0,2020-2021,Belgium
831,44361,2021-09-08,Hungary,Andorra,2.0,1.0,2020-2021,Hungary
832,44362,2021-09-08,Poland,England,1.0,1.0,2020-2021,Draw
833,44363,2021-09-08,Iceland,Germany,0.0,4.0,2020-2021,Germany
834,44364,2021-09-08,Armenia,Liechtenstein,1.0,1.0,2020-2021,Draw
835,44365,2021-09-08,North Macedonia,Romania,0.0,0.0,2020-2021,Draw
836,44386,2021-10-06,Italy,Spain,1.0,2.0,2020-2021,Spain
837,44413,2021-10-07,Belgium,France,2.0,3.0,2020-2021,France
838,44414,2021-10-08,Czechia,Wales,2.0,2.0,2020-2021,Draw
839,44415,2021-10-08,Estonia,Belarus,2.0,0.0,2020-2021,Estonia
840,44417,2021-10-08,Latvia,Netherlands,0.0,1.0,2020-2021,Netherlands
841,44418,2021-10-08,Turkey,Norway,1.0,1.0,2020-2021,Draw
842,44420,2021-10-08,Cyprus,Croatia,0.0,3.0,2020-2021,Croatia
843,44421,2021-10-08,Russia,Slovakia,1.0,0.0,2020-2021,Russia
844,44422,2021-10-08,Iceland,Armenia,1.0,1.0,2020-2021,Draw
845,44423,2021-10-08,Germany,Romania,2.0,1.0,2020-2021,Germany
846,44424,2021-10-08,Liechtenstein,North Macedonia,0.0,4.0,2020-2021,North Macedonia
847,44432,2021-10-09,Luxembourg,Serbia,0.0,1.0,2020-2021,Serbia
848,44433,2021-10-09,Sweden,Kosovo,3.0,0.0,2020-2021,Sweden
849,44436,2021-10-09,Switzerland,Northern Ireland,2.0,0.0,2020-2021,Switzerland
850,44437,2021-10-09,Finland,Ukraine,1.0,2.0,2020-2021,Ukraine
851,44441,2021-10-09,Moldova,Denmark,0.0,4.0,2020-2021,Denmark
852,44442,2021-10-09,Andorra,England,0.0,5.0,2020-2021,England
853,44443,2021-10-09,Hungary,Albania,0.0,1.0,2020-2021,Albania
854,44475,2021-10-10,Italy,Belgium,2.0,1.0,2020-2021,Italy
855,44476,2021-10-10,Spain,France,1.0,2.0,2020-2021,France
856,44477,2021-10-11,Belarus,Czechia,0.0,2.0,2020-2021,Czechia
857,44478,2021-10-11,Estonia,Wales,0.0,1.0,2020-2021,Wales
858,44481,2021-10-11,Latvia,Turkey,1.0,2.0,2020-2021,Turkey
859,44483,2021-10-11,Croatia,Slovakia,2.0,2.0,2020-2021,Draw
860,44484,2021-10-11,Slovenia,Russia,1.0,2.0,2020-2021,Russia
861,44485,2021-10-11,Iceland,Liechtenstein,4.0,0.0,2020-2021,Iceland
862,44486,2021-10-11,North Macedonia,Germany,0.0,4.0,2020-2021,Germany
863,44487,2021-10-11,Romania,Armenia,1.0,0.0,2020-2021,Romania
864,44500,2021-10-12,Portugal,Luxembourg,5.0,0.0,2020-2021,Portugal
865,44502,2021-10-12,Kosovo,Georgia,1.0,2.0,2020-2021,Georgia
866,44504,2021-10-12,Bulgaria,Northern Ireland,2.0,1.0,2020-2021,Bulgaria
867,44507,2021-10-12,Ukraine,Bosnia,1.0,1.0,2020-2021,Draw
868,44509,2021-10-12,Denmark,Austria,1.0,0.0,2020-2021,Denmark
869,44511,2021-10-12,England,Hungary,1.0,1.0,2020-2021,Draw
870,44512,2021-10-12,Albania,Poland,0.0,1.0,2020-2021,Poland
871,44546,2021-11-11,Ukraine,Bulgaria,1.0,1.0,2020-2021,Draw
872,44561,2021-11-11,Republic of Ireland,Portugal,0.0,0.0,2020-2021,Draw
873,44563,2021-11-11,Georgia,Sweden,2.0,0.0,2020-2021,Georgia
874,44565,2021-11-11,Russia,Cyprus,6.0,0.0,2020-2021,Russia
875,44567,2021-11-11,Slovakia,Slovenia,2.0,2.0,2020-2021,Draw
876,44568,2021-11-11,Germany,Liechtenstein,9.0,0.0,2020-2021,Germany
877,44569,2021-11-11,Armenia,North Macedonia,0.0,5.0,2020-2021,North Macedonia
878,44570,2021-11-11,Romania,Iceland,0.0,0.0,2020-2021,Draw
879,44586,2021-11-12,Italy,Switzerland,1.0,1.0,2020-2021,Draw
880,44587,2021-11-12,Moldova,Scotland,0.0,2.0,2020-2021,Scotland
881,44590,2021-11-12,England,Albania,5.0,0.0,2020-2021,England
882,44591,2021-11-12,Andorra,Poland,1.0,4.0,2020-2021,Poland
883,44605,2021-11-13,Bosnia,Finland,1.0,3.0,2020-2021,Finland
884,44607,2021-11-13,Wales,Belarus,5.0,1.0,2020-2021,Wales
885,44608,2021-11-13,Belgium,Estonia,3.0,1.0,2020-2021,Belgium
886,44609,2021-11-13,Norway,Latvia,0.0,0.0,2020-2021,Draw
887,44620,2021-11-14,Portugal,Serbia,1.0,2.0,2020-2021,Serbia
888,44621,2021-11-14,Luxembourg,Republic of Ireland,0.0,3.0,2020-2021,Republic of Ireland
889,44622,2021-11-14,Spain,Sweden,1.0,0.0,2020-2021,Spain
890,44624,2021-11-14,Croatia,Russia,1.0,0.0,2020-2021,Croatia
891,44626,2021-11-14,Slovenia,Cyprus,2.0,1.0,2020-2021,Slovenia
892,44627,2021-11-14,Liechtenstein,Romania,0.0,2.0,2020-2021,Romania
893,44628,2021-11-14,North Macedonia,Iceland,3.0,1.0,2020-2021,North Macedonia
894,44629,2021-11-14,Armenia,Germany,1.0,4.0,2020-2021,Germany
895,44636,2021-11-15,Northern Ireland,Italy,0.0,0.0,2020-2021,Draw
896,44637,2021-11-15,Switzerland,Bulgaria,4.0,0.0,2020-2021,Switzerland
897,44638,2021-11-15,Scotland,Denmark,2.0,0.0,2020-2021,Scotland
898,44639,2021-11-15,Austria,Moldova,4.0,1.0,2020-2021,Austria
899,44641,2021-11-15,Albania,Andorra,1.0,0.0,2020-2021,Albania
900,44642,2021-11-15,Poland,Hungary,1.0,2.0,2020-2021,Hungary
901,44671,2021-11-16,Bosnia,Ukraine,0.0,2.0,2020-2021,Ukraine
902,44672,2021-11-16,Finland,France,0.0,2.0,2020-2021,France
903,44673,2021-11-16,Wales,Belgium,1.0,1.0,2020-2021,Draw
904,44674,2021-11-16,Czechia,Estonia,2.0,0.0,2020-2021,Czechia
905,44677,2021-11-16,Netherlands,Norway,2.0,0.0,2020-2021,Netherlands
906,44902,2022-03-24,Italy,North Macedonia,0.0,1.0,2021-2022,North Macedonia
907,44903,2022-03-24,Portugal,Turkey,3.0,1.0,2021-2022,Portugal
908,44904,2022-03-24,Sweden,Czechia,1.0,0.0,2021-2022,Sweden
909,44905,2022-03-24,Wales,Austria,2.0,1.0,2021-2022,Wales
910,44908,2022-03-24,Hungary,Serbia,0.0,1.0,2021-2022,Serbia
911,44912,2022-03-24,Scotland,Poland,1.0,1.0,2021-2022,Draw
912,44915,2022-03-24,Estonia,Cyprus,0.0,0.0,2021-2022,Draw
913,44925,2022-03-25,Bosnia,Georgia,0.0,1.0,2021-2022,Georgia
914,44931,2022-03-25,Luxembourg,Northern Ireland,1.0,3.0,2021-2022,Northern Ireland
915,44933,2022-03-25,Norway,Slovakia,2.0,0.0,2021-2022,Norway
916,44945,2022-03-26,Croatia,Slovenia,1.0,1.0,2021-2022,Draw
917,44946,2022-03-26,England,Switzerland,2.0,1.0,2021-2022,England
918,44947,2022-03-26,Finland,Iceland,1.0,1.0,2021-2022,Draw
919,44952,2022-03-26,Netherlands,Denmark,4.0,2.0,2021-2022,Netherlands
920,44954,2022-03-26,Republic of Ireland,Belgium,2.0,2.0,2021-2022,Draw
921,44956,2022-03-26,Spain,Albania,2.0,1.0,2021-2022,Spain
922,44994,2022-03-29,Poland,Sweden,2.0,0.0,2021-2022,Poland
923,44995,2022-03-29,Portugal,North Macedonia,2.0,0.0,2021-2022,Portugal
924,44996,2022-03-29,Albania,Georgia,0.0,0.0,2021-2022,Draw
925,44998,2022-03-29,Austria,Scotland,2.0,2.0,2021-2022,Draw
926,45003,2022-03-29,Bosnia,Luxembourg,1.0,0.0,2021-2022,Bosnia
927,45005,2022-03-29,Croatia,Bulgaria,2.0,1.0,2021-2022,Croatia
928,45006,2022-03-29,Denmark,Serbia,3.0,0.0,2021-2022,Denmark
929,45009,2022-03-29,Finland,Slovakia,0.0,2.0,2021-2022,Slovakia
930,45015,2022-03-29,Netherlands,Germany,1.0,1.0,2021-2022,Draw
931,45016,2022-03-29,Northern Ireland,Hungary,0.0,1.0,2021-2022,Hungary
932,45017,2022-03-29,Norway,Armenia,9.0,0.0,2021-2022,Norway
933,45021,2022-03-29,Spain,Iceland,5.0,0.0,2021-2022,Spain
934,45022,2022-03-29,Switzerland,Kosovo,1.0,1.0,2021-2022,Draw
935,45026,2022-03-29,Turkey,Italy,2.0,3.0,2021-2022,Italy
936,45027,2022-03-29,Wales,Czechia,1.0,1.0,2021-2022,Draw
937,45030,2022-03-29,Cyprus,Estonia,2.0,0.0,2021-2022,Cyprus
938,45064,2022-06-01,Scotland,Ukraine,1.0,3.0,2021-2022,Ukraine
939,45068,2022-06-01,Poland,Wales,2.0,1.0,2021-2022,Poland
940,45085,2022-06-02,Czechia,Switzerland,2.0,1.0,2021-2022,Czechia
941,45086,2022-06-02,Spain,Portugal,1.0,1.0,2021-2022,Draw
942,45088,2022-06-02,Serbia,Norway,0.0,1.0,2021-2022,Norway
943,45089,2022-06-02,Slovenia,Sweden,0.0,2.0,2021-2022,Sweden
944,45091,2022-06-02,Cyprus,Kosovo,0.0,2.0,2021-2022,Kosovo
945,45093,2022-06-02,Bulgaria,North Macedonia,1.0,1.0,2021-2022,Draw
946,45111,2022-06-03,Croatia,Austria,0.0,3.0,2021-2022,Austria
947,45112,2022-06-03,France,Denmark,1.0,2.0,2021-2022,Denmark
948,45113,2022-06-03,Belgium,Netherlands,1.0,4.0,2021-2022,Netherlands
949,45115,2022-06-03,Belarus,Slovakia,0.0,1.0,2021-2022,Slovakia
950,45116,2022-06-03,Liechtenstein,Moldova,0.0,2.0,2021-2022,Moldova
951,45117,2022-06-03,Latvia,Andorra,3.0,0.0,2021-2022,Latvia
952,45131,2022-06-04,Hungary,England,1.0,0.0,2021-2022,Hungary
953,45132,2022-06-04,Italy,Germany,1.0,1.0,2021-2022,Draw
954,45133,2022-06-04,Armenia,Republic of Ireland,1.0,0.0,2021-2022,Armenia
955,45134,2022-06-04,Finland,Bosnia,1.0,1.0,2021-2022,Draw
956,45138,2022-06-05,Wales,Ukraine,1.0,0.0,2021-2022,Wales
957,45150,2022-06-05,Portugal,Switzerland,4.0,0.0,2021-2022,Portugal
958,45151,2022-06-05,Czechia,Spain,2.0,2.0,2021-2022,Draw
959,45152,2022-06-05,Serbia,Slovenia,4.0,1.0,2021-2022,Serbia
960,45153,2022-06-05,Sweden,Norway,1.0,2.0,2021-2022,Norway
961,45154,2022-06-05,Cyprus,Northern Ireland,0.0,0.0,2021-2022,Draw
962,45157,2022-06-05,Bulgaria,Georgia,2.0,5.0,2021-2022,Georgia
963,45172,2022-06-06,Austria,Denmark,1.0,2.0,2021-2022,Denmark
964,45173,2022-06-06,Croatia,France,1.0,1.0,2021-2022,Draw
965,45174,2022-06-06,Iceland,Albania,1.0,1.0,2021-2022,Draw
966,45177,2022-06-06,Latvia,Liechtenstein,1.0,0.0,2021-2022,Latvia
967,45178,2022-06-06,Andorra,Moldova,0.0,0.0,2021-2022,Draw
968,45189,2022-06-07,Germany,England,1.0,1.0,2021-2022,Draw
969,45190,2022-06-07,Italy,Hungary,2.0,1.0,2021-2022,Italy
970,45192,2022-06-07,Bosnia,Romania,1.0,0.0,2021-2022,Bosnia
971,45214,2022-06-08,Wales,Netherlands,1.0,2.0,2021-2022,Netherlands
972,45215,2022-06-08,Belgium,Poland,6.0,1.0,2021-2022,Belgium
973,45216,2022-06-08,Republic of Ireland,Ukraine,0.0,1.0,2021-2022,Ukraine
974,45217,2022-06-08,Scotland,Armenia,2.0,0.0,2021-2022,Scotland
975,45234,2022-06-09,Portugal,Czechia,2.0,0.0,2021-2022,Portugal
976,45235,2022-06-09,Switzerland,Spain,0.0,1.0,2021-2022,Spain
977,45236,2022-06-09,Norway,Slovenia,0.0,0.0,2021-2022,Draw
978,45237,2022-06-09,Sweden,Serbia,0.0,1.0,2021-2022,Serbia
979,45238,2022-06-09,Kosovo,Northern Ireland,3.0,2.0,2021-2022,Kosovo
980,45241,2022-06-09,North Macedonia,Georgia,0.0,3.0,2021-2022,Georgia
981,45250,2022-06-10,Austria,France,1.0,1.0,2021-2022,Draw
982,45251,2022-06-10,Denmark,Croatia,0.0,1.0,2021-2022,Croatia
983,45255,2022-06-10,Moldova,Latvia,2.0,4.0,2021-2022,Latvia
984,45256,2022-06-10,Andorra,Liechtenstein,2.0,1.0,2021-2022,Andorra
985,45277,2022-06-11,England,Italy,0.0,0.0,2021-2022,Draw
986,45278,2022-06-11,Hungary,Germany,1.0,1.0,2021-2022,Draw
987,45279,2022-06-11,Wales,Belgium,1.0,1.0,2021-2022,Draw
988,45280,2022-06-11,Netherlands,Poland,2.0,2.0,2021-2022,Draw
989,45281,2022-06-11,Ukraine,Armenia,3.0,0.0,2021-2022,Ukraine
990,45282,2022-06-11,Republic of Ireland,Scotland,3.0,0.0,2021-2022,Republic of Ireland
991,45284,2022-06-11,Romania,Finland,1.0,0.0,2021-2022,Romania
992,45286,2022-06-11,Luxembourg,Turkey,0.0,2.0,2021-2022,Turkey
993,45295,2022-06-12,Spain,Czechia,2.0,0.0,2021-2022,Spain
994,45296,2022-06-12,Switzerland,Portugal,1.0,0.0,2021-2022,Switzerland
995,45297,2022-06-12,Norway,Sweden,3.0,2.0,2021-2022,Norway
996,45298,2022-06-12,Slovenia,Serbia,2.0,2.0,2021-2022,Draw
997,45299,2022-06-12,Northern Ireland,Cyprus,2.0,2.0,2021-2022,Draw
998,45302,2022-06-12,Georgia,Bulgaria,0.0,0.0,2021-2022,Draw
999,45313,2022-06-13,Denmark,Austria,2.0,0.0,2021-2022,Denmark
1000,45314,2022-06-13,France,Croatia,0.0,1.0,2021-2022,Croatia
1001,45318,2022-06-13,Albania,Estonia,0.0,0.0,2021-2022,Draw
1002,45338,2022-06-14,England,Hungary,0.0,4.0,2021-2022,Hungary
1003,45339,2022-06-14,Germany,Italy,5.0,2.0,2021-2022,Germany
1004,45340,2022-06-14,Netherlands,Wales,3.0,2.0,2021-2022,Netherlands
1005,45341,2022-06-14,Poland,Belgium,0.0,1.0,2021-2022,Belgium
1006,45342,2022-06-14,Armenia,Scotland,1.0,4.0,2021-2022,Scotland
1007,45343,2022-06-14,Ukraine,Republic of Ireland,1.0,1.0,2021-2022,Draw
1008,45344,2022-06-14,Bosnia,Finland,3.0,2.0,2021-2022,Bosnia
1009,45348,2022-06-14,Moldova,Andorra,2.0,1.0,2021-2022,Moldova
1010,45349,2022-06-14,Liechtenstein,Latvia,0.0,2.0,2021-2022,Latvia
1011,45395,2022-09-21,Scotland,Ukraine,3.0,0.0,2021-2022,Scotland
1012,45403,2022-09-22,Croatia,Denmark,2.0,1.0,2021-2022,Croatia
1013,45404,2022-09-22,France,Austria,2.0,0.0,2021-2022,France
1014,45405,2022-09-22,Belgium,Wales,2.0,1.0,2021-2022,Belgium
1015,45406,2022-09-22,Poland,Netherlands,0.0,2.0,2021-2022,Netherlands
1016,45408,2022-09-22,Turkey,Luxembourg,3.0,3.0,2021-2022,Draw
1017,45411,2022-09-22,Latvia,Moldova,1.0,2.0,2021-2022,Moldova
1018,45412,2022-09-22,Liechtenstein,Andorra,0.0,2.0,2021-2022,Andorra
1019,45431,2022-09-23,Germany,Hungary,0.0,1.0,2021-2022,Hungary
1020,45432,2022-09-23,Italy,England,1.0,0.0,2021-2022,Italy
1021,45434,2022-09-23,Finland,Romania,1.0,1.0,2021-2022,Draw
1022,45435,2022-09-23,Georgia,North Macedonia,2.0,0.0,2021-2022,Georgia
1023,45454,2022-09-24,Czechia,Portugal,0.0,4.0,2021-2022,Portugal
1024,45455,2022-09-24,Spain,Switzerland,1.0,2.0,2021-2022,Switzerland
1025,45456,2022-09-24,Armenia,Ukraine,0.0,5.0,2021-2022,Ukraine
1026,45457,2022-09-24,Scotland,Republic of Ireland,2.0,1.0,2021-2022,Scotland
1027,45459,2022-09-24,Slovenia,Norway,2.0,1.0,2021-2022,Slovenia
1028,45460,2022-09-24,Serbia,Sweden,4.0,1.0,2021-2022,Serbia
1029,45461,2022-09-24,Northern Ireland,Kosovo,2.0,1.0,2021-2022,Northern Ireland
1030,45467,2022-09-25,Austria,Croatia,1.0,3.0,2021-2022,Croatia
1031,45468,2022-09-25,Denmark,France,2.0,0.0,2021-2022,Denmark
1032,45469,2022-09-25,Wales,Poland,0.0,1.0,2021-2022,Poland
1033,45470,2022-09-25,Netherlands,Belgium,1.0,0.0,2021-2022,Netherlands
1034,45473,2022-09-25,Slovakia,Belarus,1.0,1.0,2021-2022,Draw
1035,45475,2022-09-25,Andorra,Latvia,1.0,1.0,2021-2022,Draw
1036,45476,2022-09-25,Moldova,Liechtenstein,2.0,0.0,2021-2022,Moldova
1037,45480,2022-09-26,England,Germany,3.0,3.0,2021-2022,Draw
1038,45481,2022-09-26,Hungary,Italy,0.0,2.0,2021-2022,Italy
1039,45483,2022-09-26,Romania,Bosnia,4.0,1.0,2021-2022,Romania
1040,45485,2022-09-26,North Macedonia,Bulgaria,0.0,1.0,2021-2022,Bulgaria
1041,45519,2022-09-27,Portugal,Spain,0.0,1.0,2021-2022,Spain
1042,45520,2022-09-27,Switzerland,Czechia,2.0,1.0,2021-2022,Switzerland
1043,45521,2022-09-27,Republic of Ireland,Armenia,3.0,2.0,2021-2022,Republic of Ireland
1044,45522,2022-09-27,Ukraine,Scotland,0.0,0.0,2021-2022,Draw
1045,45523,2022-09-27,Albania,Iceland,1.0,1.0,2021-2022,Draw
1046,45524,2022-09-27,Norway,Serbia,0.0,2.0,2021-2022,Serbia
1047,45525,2022-09-27,Sweden,Slovenia,1.0,1.0,2021-2022,Draw
1048,45526,2022-09-27,Kosovo,Cyprus,5.0,1.0,2021-2022,Kosovo
1049,45551,2022-11-16,Albania,Italy,1.0,3.0,2021-2022,Italy
1050,45553,2022-11-16,Andorra,Austria,0.0,1.0,2021-2022,Austria
1051,45554,2022-11-16,Cyprus,Bulgaria,0.0,2.0,2021-2022,Bulgaria
1052,45560,2022-11-16,Kosovo,Armenia,2.0,2.0,2021-2022,Draw
1053,45569,2022-11-16,Turkey,Scotland,2.0,1.0,2021-2022,Turkey
1054,45573,2022-11-16,Latvia,Estonia,1.0,1.0,2021-2022,Draw
1055,45579,2022-11-17,Luxembourg,Hungary,2.0,2.0,2021-2022,Draw
1056,45584,2022-11-17,North Macedonia,Finland,1.0,1.0,2021-2022,Draw
